Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Urspr. plats?,Nuv. koord.,Sockenkod/Fornlämningsnr.,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Övrigt,Alternativt signum,Referens,Bildlänk,lat,lon,marker,date
DR 153 M ,Skyum,Skyum sn,"Hassing hd, Nørrejylland",Thisted,,,,,110109,,,M ca 1200,,,sten,granit,dopfunt,,,"DK nr.: NJy 31, http://runer.ku.dk/VisGenstand.aspx?Titel=Skyum-font",,56.93,8.6600,ᚱ,1200
DR 154 †$ ,Torup (Tvorup),Vang sn,"Hundborg hd, Nørrejylland",Thisted,,,,,110313,,,V efter-Jelling,RAK,Samma som gjort DR 155,sten,,runsten,Lerche Nielsen 2010:244f pekar på att DR 154 kan vara identisk med DR 155.,L 1507,"$=Moltke 1985:544; DK nr.: NJy 35, http://runer.ku.dk/VisGenstand.aspx?Titel=Tvorup-sten",,57.03,8.5800,ᚱ,1025
DR 155  ,Sjørind,Sjørring sn,"Hundborg hd, Nørrejylland",Thisted,,(56.9514950907768 ; 8.59033023155159),,,110305-250 [Lokalitet/18792],,,V efter-Jelling,RAK,Samma som gjort DR 154,sten,granit,runsten,,L 1508,"DK nr.: NJy 33, http://runer.ku.dk/VisGenstand.aspx?Titel=Sj%c3%b8rring-sten",,56.9514950907768,8.59033023155159,ᚱ,1025
DR 156 M ,Tisted,Thisted,"Hundborg hd, Nørrejylland",Thisted,,(56.9546633706848 ; 8.6891088974017),,,110308-10 [Lokalitet/18953],,,M ca 1200,,,sten,granit,gravhäll,,,"DK nr.: NJy 34, http://runer.ku.dk/VisGenstand.aspx?Titel=Thisted-gravsten",,56.9546633706848,8.6891088974017,ᚱ,1200
DR 157 M ,Hillerslev,Hillerslev sn,"Hillerslev hd, Nørrejylland",Thisted,,(57.0122621959089 ; 8.73027304527222),,,110202-46 [Lokalitet/17588],,,M ca 1200-1250,,,sten,granit,gravhäll,,L 1838,"DK nr.: NJy 32, http://runer.ku.dk/VisGenstand.aspx?Titel=Hillerslev-gravsten",,57.0122621959089,8.73027304527222,ᚱ,1200
DR 158 M ,Vesløs,Vesløs sn,"Vester Han hd, Nørrejylland",Thisted,,,,,110709,,,M ca 1200,,,sten,granit,gravhäll,,,"DK nr.: NJy 42, http://runer.ku.dk/VisGenstand.aspx?Titel=Vesl%c3%b8s-gravsten",,57.06,8.8500,ᚱ,1200
DR 159 †M ,Jetsmark,Jetsmark sn,"Hvetbo hd, Nørrejylland",Jammerbugt,,,,,100405,,,M,,,metall,,kyrkklocka,"Endast en uppgift från 1638 att de fanns ord skrivna med ""runebogstaff"" på klockan.",,"DK nr.: NJy 12, http://runer.ku.dk/VisGenstand.aspx?Titel=Jetsmark-klokke",,57.23,9.6500,🗡️ᚱ,1300
DR 160  ,Jetsmark,Jetsmark sn,"Hvetbo hd, Nørrejylland",Jammerbugt,I vapenhuset.,(57.2283287394849 ; 9.66746925841231),,,100405-6 [Lokalitet/14350],,,V Jelling,RAK,Troligen samma som gjort DR 161,sten,granit,runsten,,,"DK nr.: NJy 13, http://runer.ku.dk/VisGenstand.aspx?Titel=Jetsmark-sten",,57.2283287394849,9.66746925841231,ᚱ,965
DR 161  ,Hune,Hune sn,"Hvetbo hd, Nørrejylland",Jammerbugt,I tornrummet.,(57.271462315631 ; 9.63708996253668),,,100403-1 [Lokalitet/14218],,,V Jelling,RAK,Troligen samma som gjort DR 160,sten,granit,runsten,,L 1506,"DK nr.: NJy 11, http://runer.ku.dk/VisGenstand.aspx?Titel=Hune-sten",,57.271462315631,9.63708996253668,ᚱ,965
DR 162 M ,Ørum,Ørum sn,"Dronninglund hd, Nørrejylland",Brønderslev,,,,,100215,,,M ca 1200-1250,,,sten,granit,dopfunt,,,"DK nr.: NJy 9, http://runer.ku.dk/VisGenstand.aspx?Titel=%c3%98rum-font",,57.2,10.2000,ᚱ,1200
DR 163 M ,Øster Brønderslev,Øster Brønderslev sn,"Børglum hd, Nørrejylland",Brønderslev,Nationalmuseet (3),,,,100119,,,M 1150-1200,,,sten,granit,runsten,,L 1934,"DK nr.: NJy 8, http://runer.ku.dk/VisGenstand.aspx?Titel=%c3%98ster_Br%c3%b8nderslev-karmsten",,57.27,9.9700,ᚱ,1175
DR 164 †$ ,Vrejlev,Vrejlev sn,"Børglum hd, Nørrejylland",Hjørring,,(57.3623030212046 ; 10.0025612008027),,,100116,,,V,?,,sten,,runsten,,"L 1611, L 1935","$=Moltke 1985:547; DK nr.: NJy 7, http://runer.ku.dk/VisGenstand.aspx?Titel=Vrejlev-sten",,57.3623030212046,10.0025612008027,ᚱ,1050
DR 165 M ,Børglum,Børglum sn,"Børglum hd, Nørrejylland",Hjørring,Nationalmuseet (D. 1641),(57.369681 ; 9.802787),,,100102,,,M 1150-1175,,,sten,granit,pelarfot,,,"DK nr.: NJy 1, http://runer.ku.dk/VisGenstand.aspx?Titel=B%c3%b8rglum-s%c3%b8jlefod",,57.369681,9.802787,ᚱ,1162
DR 166 M ,Hæstrup,Hæstrup sn,"Børglum hd, Nørrejylland",Hjørring,Nationalmuseet (D. 5086),(57.413807 ; 9.972163),,,100105,,,M ca 1200,,,metall,,kyrkklocka,,,"DK nr.: NJy 2, http://runer.ku.dk/VisGenstand.aspx?Titel=H%c3%a6strup-klokke",,57.413807,9.972163,🗡️ᚱ,1200
DR 167 M ,Lyngby,Lyngby sn,"Børglum hd, Nørrejylland",Hjørring,,(57.4129814544947 ; 9.74585921679375),,,100107,,,M ca 1200,,,sten,granit,dopfunt,,,"DK nr.: NJy 4, http://runer.ku.dk/VisGenstand.aspx?Titel=Lyngby-font",,57.4129814544947,9.74585921679375,ᚱ,1200
DR 168 M ,Astrup,Astrup sn,"Vennebjerg hd, Nørrejylland",Hjørring,Nationalmuseet (D. 6853),(57.4804197857255 ; 10.0936606690678),,,100602,,,M ca 1200-1250,,,övrigt,munktegel,tegelsten,Futharkinskrift. En gipsavgjutning finns i kyrkan.,,"DK nr.: NJy 14, http://runer.ku.dk/VisGenstand.aspx?Titel=Astrup-teglsten",,57.4804197857255,10.0936606690678,ᚱ,1200
DR 169 M ,Tornby,Tornby sn,"Vennebjerg hd, Nørrejylland",Hjørring,,(57.5265428636668 ; 9.94714774438738),ja,,100615,långkvist-s i pikisdahum annars kortkvist-s,,M ca 1200,,,puts,kalkputs,putsinskrift,Gjord av en norrman.,,"DK nr.: NJy 15, http://runer.ku.dk/VisGenstand.aspx?Titel=Tornby-kalkristning_1",,57.5265428636668,9.94714774438738,🧱ᚱ,1200
DR 169A $M ,Tornby,Tornby sn,"Vennebjerg hd, Nørrejylland",Hjørring,,(57.5265428636668 ; 9.94714774438738),ja,,100615,både þ-runan och k-runan är stungna med två punkter,,M ca 1200,,,puts,kalkputs,putsinskrift,,,"$=Wimmer 1914:206 (De danske Runmindesmærker), NIyR V:235 ; DK nr.: NJy 16, http://runer.ku.dk/VisGenstand.aspx?Titel=Tornby-kalkristning_2",,57.5265428636668,9.94714774438738,🧱ᚱ,1200
DR 169B $M ,Tornby,Tornby sn,"Vennebjerg hd, Nørrejylland",Hjørring,,(57.5265428636668 ; 9.94714774438738),ja,,100615,,,M ca 1200,,,puts,kalkputs,putsinskrift,,,"$=Wimmer 1914:206 (De danske Runmindesmærker), NIyR V:235 ; DK nr.: NJy 17, http://runer.ku.dk/VisGenstand.aspx?Titel=Tornby-kalkristning_3",,57.5265428636668,9.94714774438738,🧱ᚱ,1200
DR 170 M? ,Jerslev,Jerslev sn,"Børglum hd, Nørrejylland",Brønderslev,Nationalmuseet (C. 11150),(57.3143553580055 ; 10.1341276344391),,,100106-172 [Lokalitet/10330],,,M?,,,sten,sandsten,amulett,,,"DK nr.: NJy 3, http://runer.ku.dk/VisGenstand.aspx?Titel=Jerslev-amuletsten",,57.3143553580055,10.1341276344391,ᚱ,
DR 171 †M? ,Rudkøbing,Rudkøbing sn,"Langelands Nørre hd, Fyn",Langeland,,(54.9342558983469 ; 10.7076215777732),,,090203 ,,,M?,,,metall,,kyrkklocka,Skall ha haft en inskrift på latin. Omgjuten vid mitten av 1700-talet.,,"DK nr.: Fyn 36, http://runer.ku.dk/VisGenstand.aspx?Titel=Rudk%c3%b8bing-klokke",,54.9342558983469,10.7076215777732,🗡️ᚱ,
DR 172 M ,Bøstrup,Bøstrup sn,"Langelands Nørre hd, Fyn",Langeland,Nationalmuseet (6548),(55.04536 ; 10.881486),,,090201,,,M 1200-1250,,Jakob Rød,metall,bronslegering,rökelsekar,"Det finns 12 rökelsekar med runor, alla av Jakob Røds hand.",,"DK nr.: Fyn 35, http://runer.ku.dk/VisGenstand.aspx?Titel=B%c3%b8strup-r%c3%b8gelseskar",,55.04536,10.881486,🗡️ᚱ,1225
DR 173 M ,Fåborg,Fåborg sn,"Sallinge hd, Fyn",Faaborg-Midtfyn,Nationalmuseet (702),(55.096494 ; 10.245652),,,090406,,,M 1200-1250,,Jakob Rød,metall,bronslegering,rökelsekar,,L 1958,"DK nr.: Fyn 37, http://runer.ku.dk/VisGenstand.aspx?Titel=F%c3%a5borg-r%c3%b8gelseskar",,55.096494,10.245652,🗡️ᚱ,1225
DR 174 M ,Heden,Heden sn,"Sallinge hd, Fyn",Faaborg-Midtfyn,"Nationalmuseet (402), deponerat i Odense Museum",,,,090409,,,M 1200-1250,,Jakob Rød,metall,bronslegering,rökelsekar,,L 1962,"DK nr.: Fyn 38, http://runer.ku.dk/VisGenstand.aspx?Titel=Heden-r%c3%b8gelseskar",,55.22,10.3500,🗡️ᚱ,1225
DR 175 M ,Hesselager,Hesselager sn,"Gudme hd, Fyn",Svendborg,Nationalmuseet (440),(55.1756750930772 ; 10.7468390046356),,,090105,,,M 1200-1250,,Jakob Rød,metall,bronslegering,rökelsekar,,L 1959,"DK nr.: Fyn 33, http://runer.ku.dk/VisGenstand.aspx?Titel=Hesselager-r%c3%b8gelseskar",,55.1756750930772,10.7468390046356,🗡️ᚱ,1225
DR 176 M ,Hundstrup,Hundstrup sn,"Sallinge hd, Fyn",Svendborg,Nationalmuseet (D. 10259),(55.104375 ; 10.431776),,,090413,,,M 1200-1250,,Jakob Rød,metall,bronslegering,rökelsekar,,,"DK nr.: Fyn 39, http://runer.ku.dk/VisGenstand.aspx?Titel=Hundstrup-r%c3%b8gelseskar",,55.104375,10.431776,🗡️ᚱ,1225
DR 177 M ,Kullerup,Kullerup sn,"Vindinge hd, Fyn",Nyborg,Nationalmuseet (D. 5097),(55.317962 ; 10.703323),,,090609,,,M 1200-1250,,Jakob Rød,metall,bronslegering,rökelsekar,,,"DK nr.: Fyn 49, http://runer.ku.dk/VisGenstand.aspx?Titel=Kullerup-r%c3%b8gelseskar",,55.317962,10.703323,🗡️ᚱ,1225
DR 178 M ,Lunde,Lunde sn,"Sunds hd, Fyn",Svendborg,Nationalmuseet (350),(55.1344339979839 ; 10.5266465226787),,,090508,,,M 1200-1250,,Jakob Rød,metall,bronslegering,rökelsekar,,L 1957,"DK nr.: Fyn 43, http://runer.ku.dk/VisGenstand.aspx?Titel=Lunde-r%c3%b8gelseskar",,55.1344339979839,10.5266465226787,🗡️ᚱ,1225
DR 179 M ,Ollerup,Ollerup sn,"Sunds hd, Fyn",Svendborg,Nationalmuseet,(55.072569 ; 10.485506),,,090509,,,M 1200-1250,,Jakob Rød,metall,bronslegering,rökelsekar,,L 1960,"DK nr.: Fyn 44, http://runer.ku.dk/VisGenstand.aspx?Titel=Ollerup-r%c3%b8gelseskar",,55.072569,10.485506,🗡️ᚱ,1225
DR 180 M ,Stenstrup,Stenstrup sn,"Sunds hd, Fyn",Svendborg,Nationalmuseet (349),(55.131483 ; 10.498778),,,090511,,,M 1200-1250,,Jakob Rød,metall,bronslegering,rökelsekar,,L 1963,"DK nr.: Fyn 45, http://runer.ku.dk/VisGenstand.aspx?Titel=Stenstrup-r%c3%b8gelseskar",,55.131483,10.498778,🗡️ᚱ,1225
DR 181 †M ,Svinninge,Svindinge sn,"Gudme hd, Fyn",Nyborg,,(55.216857 ; 10.687723),,,090110,,,M 1200-1250,,Jakob Rød,metall,bronslegering,rökelsekar,,L 1956,"DK nr.: Fyn 34, http://runer.ku.dk/VisGenstand.aspx?Titel=Svindinge-r%c3%b8gelseskar",,55.216857,10.687723,🗡️ᚱ,1225
DR 182 M ,Tjømø,Tjøme sn,"Tjømø hd, Vestfold fylke, Norge","Tjøme, Norge","Oldsaksamlingen, Oslo (C. 2692)",(59.113673 ; 10.391629),,,,,,M 1200-1250,,Jakob Rød,metall,bronslegering,rökelsekar,,L 1955,http://runer.ku.dk/VisGenstand.aspx?Titel=Tj%c3%b8me-r%c3%b8gelseskar,,59.113673,10.391629,🗡️ᚱ,1225
DR 183 M ,Ulbølle,Ulbølle sn,"Sallinge hd, Fyn",Svendborg,Nationalmuseet (MDLXXIII),(55.073463 ; 10.423703),,,090422,,,M 1200-1250,,Jakob Rød,metall,bronslegering,rökelsekar,,L 1961,"DK nr.: Fyn 40, http://runer.ku.dk/VisGenstand.aspx?Titel=Ulb%c3%b8lle-r%c3%b8gelseskar",,55.073463,10.423703,🗡️ᚱ,1225
DR 184 M ,Bregninge,Bregninge sn,"Sunds hd, Fyn",Svendborg,,(55.023551 ; 10.610272),,,090502,,,M 1200-1250,,,sten,granit,gravhäll,,"L 1493, L 1835, L 1964","DK nr.: Fyn 41, http://runer.ku.dk/VisGenstand.aspx?Titel=Bregninge-gravsten,T%c3%a5singe",,55.023551,10.610272,ᚱ,1225
DR 185 M ,Egense,Egense sn,"Sunds hd, Fyn",Svendborg,,(55.0565136981252 ; 10.5293398850558),,,090504,,,M 1150-1200,,,sten,granit,dopfunt,,,"DK nr.: Fyn 42, http://runer.ku.dk/VisGenstand.aspx?Titel=Egense-font",,55.0565136981252,10.5293398850558,ᚱ,1175
DR 186 $M ,Svendborg,Svendborg sn,"Sunds hd, Fyn",Svendborg,Nationalmuseet (D. 8728),,,,090513,,,M,,,ben/horn,horn,knivskaft,,,"$=Moltke 1985:468; DK nr.: Fyn 46, http://runer.ku.dk/VisGenstand.aspx?Titel=Svendborg-kniv",,55.06,10.6100,🦴ᚱ,1300
DR 187 M ,Sørup,Sørup sn,"Sunds hd, Fyn",Svendborg,Nationalmuseet (988),(55.0751472436086 ; 10.562396525965),,,090513-140 [Lokalitet/148043],,,M romansk,,,sten,granit,runsten,,L 1494,"DK nr.: Fyn 47, http://runer.ku.dk/VisGenstand.aspx?Titel=S%c3%b8rup-sten",,55.0751472436086,10.562396525965,ᚱ,1175
DR 188 † ,Ørbæk,Ørbæk sn,"Vindinge hd, Fyn",Nyborg,,(55.2450477858928 ; 10.6547856071064),,,090618-34 [Lokalitet/148036],,,V Helnæs-Gørlev,?,,sten,,runsten,,,"DK nr.: Fyn 50, http://runer.ku.dk/VisGenstand.aspx?Titel=%c3%98rb%c3%a6k-sten",,55.2450477858928,10.6547856071064,ᚱ,900
DR 189 † ,Avnslev (Aunslev),Avnslev sn (Aunslev),"Vindinge hd, Fyn",Nyborg,,(55.3542860980254 ; 10.7129715494623),,,090601-76 [Lokalitet/130443],Helnæs-Gørlev,,V Helnæs-Gørlev,,"Åver (A), se DR 190, DR 192",sten,,runsten,,L 2044,"DK nr.: Fyn 48, http://runer.ku.dk/VisGenstand.aspx?Titel=Avnslev-sten",,55.3542860980254,10.7129715494623,ᚱ,900
DR 190  ,Helnæs,Helnæs sn,"Båg hd, Fyn",Assens,Nationalmuseet (20017),(55.1490660785879 ; 10.0141255931057),,,080207-22 [Lokalitet/130151],Helnæs-Gørlev,,"V Helnæs-Gørlev, ca 750-900",RAK,Åver (S),sten,granit,runsten,,,"DK nr.: Fyn 8, http://runer.ku.dk/VisGenstand.aspx?Titel=Heln%c3%a6s-sten",,55.1490660785879,10.0141255931057,ᚱ,750
DR 191  ,Sønderby,Sønderby sn,"Båg hd, Fyn",Assens,,(55.2295740028703 ; 9.98818486441636),,,080218-29 [Lokalitet/130155],,,V,RAK,,sten,granit,runsten,,,"DK nr.: Fyn 12, http://runer.ku.dk/VisGenstand.aspx?Titel=S%c3%b8nderby-sten",,55.2295740028703,9.98818486441636,ᚱ,1050
DR 192  ,Flemløse 1,Flemløse sn,"Båg hd, Fyn",Assens,Jægerspris,(55.2504540246674 ; 10.0666842873554),,,080205-73 [Lokalitet/130150],Helnæs-Gørlev,,V Helnæs-Gørlev,RAK,Åver (S),sten,granit,runsten,,L 1486,"DK nr.: Fyn 2, http://runer.ku.dk/VisGenstand.aspx?Titel=Fleml%c3%b8se-sten_1",,55.2504540246674,10.0666842873554,ᚱ,900
DR 193 $ ,Flemløse 2,Flemløse sn,"Båg hd, Fyn",Assens,Jægerspris,(55.2393456774415 ; 10.0729452467918),,,080205-74 [Lokalitet/130156],Helnæs-Gørlev,,V Helnæs-Gørlev,RAK,,sten,granit,runsten,,,"$=Williams manus (tolkningen Sæss); DK nr.: Fyn 3, http://runer.ku.dk/VisGenstand.aspx?Titel=Fleml%c3%b8se-sten_2",,55.2393456774415,10.0729452467918,ᚱ,900
DR 194 †U ,Kragehul mose,Flemløse sn,"Båg hd, Fyn",Assens,,(55.2549113570999 ; 10.0604945418317),,,080205-2 [Lokalitet/5005],,,U,,,ben/horn,horn (av hjort?),amulett?,,,"DK nr.: Fyn 4, http://runer.ku.dk/VisGenstand.aspx?Titel=Kragehul-horn",,55.2549113570999,10.0604945418317,🦴ᚱ,525
DR 195 U ,Kragehul,Flemløse sn,"Båg hd, Fyn",Assens,Nationalmuseet (22594),(55.2549113570999 ; 10.0604945418317),,,"080205-2 [Lokalitet/5005], 080205-333 [Lokalitet/167447]",,,U 375/400-460/470 (Imer 2007),,,trä,trä,knivskaft,,,"KJ 28; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=33&ort=Kragehul&objekt=knivskaft>; DK nr.: Fyn 6, http://runer.ku.dk/VisGenstand.aspx?Titel=Kragehul-knivskaft",,55.2549113570999,10.0604945418317,🌲ᚱ,430
DR 196 U ,Kragehul,Flemløse sn,"Båg hd, Fyn",Assens,Nationalmuseet (C. 3158),(55.2549113570999 ; 10.0604945418317),,,"080205-2 [Lokalitet/5005], 080205-333 [Lokalitet/167447]",,,U 450-500 (Imer 2007),,,trä,trä,spjutskaft,,,"KJ 27; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=25&ort=Kragehul&objekt=spjutskaft>; DK nr.: Fyn 7, http://runer.ku.dk/VisGenstand.aspx?Titel=Kragehul-spydskaft",,55.2549113570999,10.0604945418317,🌲ᚱ,475
DR 197 †U ,Kragehul mose,Flemløse sn,"Båg hd, Fyn",Assens,,(55.2549113570999 ; 10.0604945418317),,,080205-2 [Lokalitet/5005],,,U,,,trä,trä,platta,,,"DK nr.: Fyn 5, http://runer.ku.dk/VisGenstand.aspx?Titel=Kragehul-tr%c3%a6skive",,55.2549113570999,10.0604945418317,🌲ᚱ,525
DR 198 U ,Køng,Køng sn,"Båg hd, Fyn",Assens,Nationalmuseet (C. 13688),(55.2600312811696 ; 10.101370063412),,,080212-5A [Lokalitet/5199],,,U 160-375/400 (Imer 2007),,,metall,brons,statyett,,,"KJ 45; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=61&ort=Køng&objekt=statyett>; DK nr.: Fyn 9, http://runer.ku.dk/VisGenstand.aspx?Titel=K%c3%b8ng-statuette",,55.2600312811696,10.101370063412,🗡️ᚱ,268
DR 199 M ,Køng,Køng sn,"Båg hd, Fyn",Assens,,,,,080212,,,M romansk,,,sten,kalksten,mursten,,,"DK nr.: Fyn 10, http://runer.ku.dk/VisGenstand.aspx?Titel=K%c3%b8ng-stenrelief",,55.29,10.0800,ᚱ,1175
DR 200 M ,Ørsted,Ørsted sn,"Båg hd, Fyn",Assens,,,,,080222,,,M ca 1150,,,sten,granit,kvadersten,,,"DK nr.: Fyn 13, http://runer.ku.dk/VisGenstand.aspx?Titel=%c3%98rsted-kvadersten",,55.26,10.0600,ᚱ,1150
DR 201 † ,Allerup,Allerup sn,"Åsum hd, Fyn",Odense,,(55.337674055422 ; 10.4718957440612),,,080801-13 [Lokalitet/142414],,,V,,,sten,,kvadersten,,L 1608,"DK nr.: Fyn 29, http://runer.ku.dk/VisGenstand.aspx?Titel=Allerup-sten",,55.337674055422,10.4718957440612,ᚱ,1050
DR 202  ,Rønninge,Rønninge sn,"Åsum hd, Fyn",Kerteminde,,(55.3447119967154 ; 10.6045940058923),,,080808-56 [Lokalitet/142413],,,V för-Jelling,RAK,Sote (A),sten,granit,runsten,,L 1485,"DK nr.: Fyn 30, http://runer.ku.dk/VisGenstand.aspx?Titel=R%c3%b8nninge-sten",,55.3447119967154,10.6045940058923,ᚱ,900
